senin,8,10,70000
senin,9,12,90000
senin,10,10,120000
senin,11,15,200000
senin,12,25,320000
senin,13,14,300000
senin,14,15,200000
selasa,8,7,80000
selasa,9,10,75000
selasa,10,14,135000
selasa,11,7,50000
selasa,12,27,900000
selasa,13,4,80000
selasa,14,17,250000
rabu,8,15,220000
rabu,9,7,60000
rabu,10,10,90000
rabu,11,18,240000
rabu,12,30,750000
rabu,13,8,90000
rabu,14,12,60000
kamis,8,9,80000
kamis,9,9,100000
kamis,10,18,380000
kamis,11,19,280000
kamis,12,25,520000
kamis,13,4,90000
kamis,14,9,120000
jumat,8,7,75000
jumat,9,15,230000
jumat,10,17,145000
jumat,11,28,870000
jumat,12,6,80000
jumat,13,20,560000
jumat,14,4,60000
